split,model,arm,ps_spearman_T10,n_muts,n_complex_T10,delta_vs_base,spearman_foldavg,spearman_foldavg_sd
fullSK MP-clustered,ProstT5,fx_scalar,0.3435,1636,43,+0.2767,,
fullSK MP-clustered,ProstT5,fx_mlp,0.3418,1636,43,+0.2750,,
fullSK MP-clustered,SaProt,base,-0.0083,1636,43,,,
fullSK MP-clustered,SaProt,fx_scalar,0.2263,1636,43,+0.2346,,
fullSK MP-clustered,SaProt,fx_mlp,0.1944,1636,43,+0.2027,,
fullSK MP-clustered,ESM-C 6B,base,0.1374,1636,43,,,
fullSK MP-clustered,ESM-C 6B,fx_scalar,0.2697,1636,43,+0.1323,,
fullSK MP-clustered,ESM-C 6B,fx_mlp,0.3197,1636,43,+0.1823,,
fullSK MP-clustered,Ankh3-large,base,0.2010,1636,43,,,
fullSK MP-clustered,Ankh3-large,fx_scalar,0.3087,1636,43,+0.1077,,
fullSK MP-clustered,Ankh3-large,fx_mlp,0.2877,1636,43,+0.0867,,
fullSK MP-clustered,Ankh3-xl,base,0.1445,1636,43,,,
fullSK MP-clustered,Ankh3-xl,fx_scalar,0.2726,1636,43,+0.1281,,
fullSK MP-clustered,Ankh3-xl,fx_mlp,0.3245,1636,43,+0.1800,,
fullSK MP-clustered,AIDO-16B,base,0.0532,1636,43,,,
fullSK MP-clustered,AIDO-16B,fx_scalar,0.2875,1636,43,+0.2343,,
fullSK MP-clustered,AIDO-16B,fx_mlp,0.1723,1636,43,+0.1191,,
fullSK MP-bycomplex,Ankh-large,base,0.3402,1636,43,,,
fullSK MP-bycomplex,Ankh-large,fx_scalar,0.3967,1636,43,+0.0565,,
fullSK MP-bycomplex,Ankh-large,fx_mlp,0.3914,1636,43,+0.0512,,
fullSK MP-bycomplex,ProstT5,base,0.2765,1636,43,,,
fullSK MP-bycomplex,ProstT5,fx_scalar,0.4163,1636,43,+0.1398,,
fullSK MP-bycomplex,ProstT5,fx_mlp,0.4442,1636,43,+0.1677,,
fullSK MP-bycomplex,SaProt,base,0.1758,1636,43,,,
fullSK MP-bycomplex,SaProt,fx_scalar,0.3078,1636,43,+0.1320,,
fullSK MP-bycomplex,SaProt,fx_mlp,0.2685,1636,43,+0.0927,,
fullSK MP-bycomplex,ESM-C 6B,base,0.3743,1636,43,,,
fullSK MP-bycomplex,ESM-C 6B,fx_scalar,0.3905,1636,43,+0.0162,,
fullSK MP-bycomplex,ESM-C 6B,fx_mlp,0.4232,1636,43,+0.0489,,
fullSK MP-bycomplex,Ankh3-large,base,0.2722,1636,43,,,
fullSK MP-bycomplex,Ankh3-large,fx_scalar,0.3444,1636,43,+0.0722,,
fullSK MP-bycomplex,Ankh3-large,fx_mlp,0.4148,1636,43,+0.1426,,
fullSK MP-bycomplex,Ankh3-xl,base,0.3394,1636,43,,,
fullSK MP-bycomplex,Ankh3-xl,fx_scalar,0.4047,1636,43,+0.0653,,
fullSK MP-bycomplex,Ankh3-xl,fx_mlp,0.4325,1636,43,+0.0931,,
fullSK MP-bycomplex,AIDO-16B,base,0.2633,1636,43,,,
fullSK MP-bycomplex,AIDO-16B,fx_scalar,0.3569,1636,43,+0.0936,,
fullSK MP-bycomplex,AIDO-16B,fx_mlp,0.3234,1636,43,+0.0601,,
fullSK CATH-all,Ankh-large,base,0.3308,687,13,,0.5444,
fullSK CATH-all,Ankh-large,fx_scalar,0.4210,687,13,+0.0902,0.6418,
fullSK CATH-all,Ankh-large,fx_mlp,0.3870,687,13,+0.0562,0.5943,
fullSK CATH-all,ProstT5,base,0.0704,687,13,,0.3494,
fullSK CATH-all,ProstT5,fx_scalar,0.4150,687,13,+0.3446,0.5836,
fullSK CATH-all,ProstT5,fx_mlp,0.3983,687,13,+0.3279,0.5904,
fullSK CATH-all,SaProt,base,0.2285,687,13,,0.3652,
fullSK CATH-all,SaProt,fx_scalar,0.3982,687,13,+0.1697,0.5733,
fullSK CATH-all,SaProt,fx_mlp,0.3970,687,13,+0.1685,0.5948,
fullSK CATH-all,ESM2-3B,base,0.2427,687,13,,0.4451,
fullSK CATH-all,ESM2-3B,fx_scalar,0.3748,687,13,+0.1321,0.5920,
fullSK CATH-all,ESM2-3B,fx_mlp,0.3522,687,13,+0.1095,0.5785,
fullSK CATH-all,ESM-C 600M,base,0.1172,687,13,,0.4432,
fullSK CATH-all,ESM-C 600M,fx_scalar,0.3513,687,13,+0.2341,0.5967,
fullSK CATH-all,ESM-C 600M,fx_mlp,0.3703,687,13,+0.2531,0.6013,
fullSK CATH-all,ESM-C 6B,base,0.3596,687,13,,0.5220,
fullSK CATH-all,ESM-C 6B,fx_scalar,0.4378,687,13,+0.0782,0.6137,
fullSK CATH-all,ESM-C 6B,fx_mlp,0.4310,687,13,+0.0714,0.6130,
fullSK CATH-all,Ankh3-large,base,0.1480,687,13,,0.3086,
fullSK CATH-all,Ankh3-large,fx_scalar,0.3552,687,13,+0.2072,0.5693,
fullSK CATH-all,Ankh3-large,fx_mlp,0.3922,687,13,+0.2442,0.5651,
fullSK CATH-all,Ankh3-xl,base,0.2664,687,13,,0.5423,
fullSK CATH-all,Ankh3-xl,fx_scalar,0.4141,687,13,+0.1477,0.6062,
fullSK CATH-all,Ankh3-xl,fx_mlp,0.4145,687,13,+0.1481,0.5999,
fullSK CATH-all,AIDO-16B,base,0.2483,687,13,,0.3678,
fullSK CATH-all,AIDO-16B,fx_scalar,0.4172,687,13,+0.1689,0.5857,
fullSK CATH-all,AIDO-16B,fx_mlp,0.3767,687,13,+0.1284,0.5938,
fullSK CATH-single,Ankh-large,base,0.3211,421,11,,,
fullSK CATH-single,Ankh-large,fx_scalar,0.4482,421,11,+0.1271,,
fullSK CATH-single,Ankh-large,fx_mlp,0.4825,421,11,+0.1614,,
fullSK CATH-single,ProstT5,base,0.1646,421,11,,,
fullSK CATH-single,ProstT5,fx_scalar,0.4415,421,11,+0.2769,,
fullSK CATH-single,ProstT5,fx_mlp,0.4344,421,11,+0.2698,,
fullSK CATH-single,SaProt,base,0.1258,421,11,,,
fullSK CATH-single,SaProt,fx_scalar,0.4084,421,11,+0.2826,,
fullSK CATH-single,SaProt,fx_mlp,0.4372,421,11,+0.3114,,
fullSK CATH-single,ESM2-3B,base,0.2087,421,11,,,
fullSK CATH-single,ESM2-3B,fx_scalar,0.4183,421,11,+0.2096,,
fullSK CATH-single,ESM2-3B,fx_mlp,0.4301,421,11,+0.2214,,
fullSK CATH-single,ESM-C 600M,base,0.1383,421,11,,,
fullSK CATH-single,ESM-C 600M,fx_scalar,0.3711,421,11,+0.2328,,
fullSK CATH-single,ESM-C 600M,fx_mlp,0.4375,421,11,+0.2992,,
fullSK CATH-single,ESM-C 6B,base,0.3771,421,11,,,
fullSK CATH-single,ESM-C 6B,fx_scalar,0.4563,421,11,+0.0792,,
fullSK CATH-single,ESM-C 6B,fx_mlp,0.4952,421,11,+0.1181,,
fullSK CATH-single,Ankh3-large,base,0.0512,421,11,,,
fullSK CATH-single,Ankh3-large,fx_scalar,0.3816,421,11,+0.3304,,
fullSK CATH-single,Ankh3-large,fx_mlp,0.4334,421,11,+0.3822,,
fullSK CATH-single,Ankh3-xl,base,0.2625,421,11,,,
fullSK CATH-single,Ankh3-xl,fx_scalar,0.4331,421,11,+0.1706,,
fullSK CATH-single,Ankh3-xl,fx_mlp,0.4742,421,11,+0.2117,,
fullSK CATH-single,AIDO-16B,base,0.2193,421,11,,,
fullSK CATH-single,AIDO-16B,fx_scalar,0.4202,421,11,+0.2009,,
fullSK CATH-single,AIDO-16B,fx_mlp,0.4246,421,11,+0.2053,,
fullSK CATH-multiple,Ankh-large,base,0.4444,266,5,,,
fullSK CATH-multiple,Ankh-large,fx_scalar,0.5558,266,5,+0.1114,,
fullSK CATH-multiple,Ankh-large,fx_mlp,0.5375,266,5,+0.0931,,
fullSK CATH-multiple,ProstT5,base,0.2772,266,5,,,
fullSK CATH-multiple,ProstT5,fx_scalar,0.5679,266,5,+0.2907,,
fullSK CATH-multiple,ProstT5,fx_mlp,0.5776,266,5,+0.3004,,
fullSK CATH-multiple,SaProt,base,0.4495,266,5,,,
fullSK CATH-multiple,SaProt,fx_scalar,0.5425,266,5,+0.0930,,
fullSK CATH-multiple,SaProt,fx_mlp,0.5966,266,5,+0.1471,,
fullSK CATH-multiple,ESM2-3B,base,0.6043,266,5,,,
fullSK CATH-multiple,ESM2-3B,fx_scalar,0.5401,266,5,-0.0642,,
fullSK CATH-multiple,ESM2-3B,fx_mlp,0.5252,266,5,-0.0791,,
fullSK CATH-multiple,ESM-C 600M,base,0.3743,266,5,,,
fullSK CATH-multiple,ESM-C 600M,fx_scalar,0.5131,266,5,+0.1388,,
fullSK CATH-multiple,ESM-C 600M,fx_mlp,0.5763,266,5,+0.2020,,
fullSK CATH-multiple,ESM-C 6B,base,0.4687,266,5,,,
fullSK CATH-multiple,ESM-C 6B,fx_scalar,0.5258,266,5,+0.0571,,
fullSK CATH-multiple,ESM-C 6B,fx_mlp,0.5094,266,5,+0.0407,,
fullSK CATH-multiple,Ankh3-large,base,0.4287,266,5,,,
fullSK CATH-multiple,Ankh3-large,fx_scalar,0.5814,266,5,+0.1527,,
fullSK CATH-multiple,Ankh3-large,fx_mlp,0.5766,266,5,+0.1479,,
fullSK CATH-multiple,Ankh3-xl,base,0.5866,266,5,,,
fullSK CATH-multiple,Ankh3-xl,fx_scalar,0.5732,266,5,-0.0134,,
fullSK CATH-multiple,Ankh3-xl,fx_mlp,0.5726,266,5,-0.0140,,
fullSK CATH-multiple,AIDO-16B,base,0.3198,266,5,,,
fullSK CATH-multiple,AIDO-16B,fx_scalar,0.5579,266,5,+0.2381,,
