tier,model,arm,rho,lo,hi,n_cplx,n_mut,coverage,rho_covered_only,d_vs_foldx,d_lo,d_hi,n_shared
fullSK MP-bycomplex,ankh,fx_scalar,0.3967,0.2868,0.4977,43,1636,,,0.0181,-0.0760,0.1145,42
fullSK MP-bycomplex,esmc6b,base,0.3743,0.2657,0.4808,43,1636,,,-0.0142,-0.1330,0.1002,42
fullSK MP-bycomplex,esmc6b,fx_mlp,0.4232,0.3207,0.5201,43,1636,,,0.0422,-0.0451,0.1282,42
fullSK MP-bycomplex,esmc6b,fx_scalar,0.3905,0.2757,0.5018,43,1636,,,0.0081,-0.0870,0.1039,42
fullSK MP-bycomplex,ankh3_large,base,0.2722,0.1515,0.3921,43,1636,,,-0.1129,-0.2413,0.0172,42
fullSK MP-bycomplex,ankh3_large,fx_mlp,0.4148,0.3128,0.5102,43,1636,,,0.0344,-0.0515,0.1208,42
fullSK MP-bycomplex,ankh3_large,fx_scalar,0.3444,0.2416,0.4481,43,1636,,,-0.0423,-0.1371,0.0538,42
fullSK MP-bycomplex,ankh3_xl,base,0.3394,0.2226,0.4553,43,1636,,,-0.0480,-0.1684,0.0710,42
fullSK MP-bycomplex,ankh3_xl,fx_mlp,0.4325,0.3256,0.5332,43,1636,,,0.0559,-0.0244,0.1387,42
fullSK MP-bycomplex,ankh3_xl,fx_scalar,0.4047,0.2892,0.5114,43,1636,,,0.0209,-0.0642,0.1084,42
fullSK MP-bycomplex,aido,base,0.2633,0.1401,0.3844,43,1636,,,-0.1190,-0.2397,0.0055,42
fullSK MP-bycomplex,aido,fx_mlp,0.3234,0.2050,0.4387,43,1636,,,-0.0630,-0.1651,0.0427,42
fullSK MP-bycomplex,aido,fx_scalar,0.3569,0.2323,0.4730,43,1636,,,-0.0290,-0.1299,0.0684,42
fullSK MP-bycomplex,prostt5,base,0.2765,0.1521,0.3998,43,1636,,,-0.1160,-0.2407,0.0061,42
fullSK MP-bycomplex,prostt5,fx_mlp,0.4442,0.3397,0.5421,43,1636,,,0.0610,-0.0274,0.1491,42
